NAME,LINK,DOCKET,TYPE,LOCATION,OWNER,REGION
FitzPatrick,/info-finder/reactors/fitz.html,05000333,DPR-59,BWR,"6 miles NE of Oswego,  NY","Entergy Nuclear Operations, Inc. "
Fort Calhoun,/info-finder/reactors/fcs.html,05000285,DPR-40,PWR,"19 miles N of Omaha,  NE",Omaha Public Power District 
Ginna,/info-finder/reactors/ginn.html,05000244,DPR-18,PWR,"20 miles NE of Rochester,  NY",
Grand Gulf 1,/info-finder/reactors/gg1.html,05000416,NPF-29,BWR,"20 miles S of Vicksburg,  MS","Entergy Nuclear Operations, Inc."
Hatch 1,/info-finder/reactors/hat1.html,05000321,DPR-57,BWR,"20 miles S of Vidalia, GA","Southern Nuclear Operating Co., Inc. "
Hatch 2,/info-finder/reactors/hat2.html,05000366,NPF-5,BWR,"20 miles S of Vidalia, GA","Southern Nuclear Operating Co., Inc. "
Hope Creek 1,/info-finder/reactors/hope.html,05000354,NPF-57,BWR,"18 miles SE of Wilmington,  DE","PSEG Nuclear, LLC"
Indian Point 2,/info-finder/reactors/ip2.html,05000247,DPR-26,PWR,"24 miles N of New York City,  NY","Entergy Nuclear Operations, Inc."
Indian Point 3,/info-finder/reactors/ip3.html,05000286,DPR-64,PWR,"24 miles N of New York City,  NY","Entergy Nuclear Operations, Inc."
La Salle 1,/info-finder/reactors/lasa1.html,05000373,NPF-11,BWR,"11 miles SE of Ottawa,  IL","Exelon Generation Co., LLC "
La Salle 2,/info-finder/reactors/lasa2.html,05000374,NPF-18,BWR,"11 miles SE of Ottawa,  IL","Exelon Generation Co., LLC "
Limerick 1,/info-finder/reactors/lim1.html,05000352,NPF-39,BWR,"21 miles NW of Philadelphia,  PA","Exelon Generation Co., LLC "
Limerick 2,/info-finder/reactors/lim2.html,05000353,NPF-85,BWR,"21 miles NW of Philadelphia,  PA","Exelon Generation Co., LLC "
McGuire 1,/info-finder/reactors/mcg1.html,05000369,NPF-9,PWR,"17 miles N of Charlotte,  NC","Duke Energy Power Company, LLC"
McGuire 2,/info-finder/reactors/mcg2.html,05000370,NPF-17,PWR,"17 miles N of Charlotte,  NC","Duke Energy Power Company, LLC"
Millstone 2,/info-finder/reactors/mill2.html,05000336,DPR-65,PWR,"3.2 miles WSW of New London,  CT",Dominion Generation 
Millstone 3,/info-finder/reactors/mill3.html,05000423,NPF-49,PWR,"3.2 miles WSW of New London,  CT",Dominion Generation 
